A,B,StadDistMiles
Verizon Center (WSH),American Airlines Center (DAL),1192
Verizon Center (WSH),Toyota Center (HOU),1220
Verizon Center (WSH),FedExForum (MEM),764
Verizon Center (WSH),Smoothie King Center (NO),965
Verizon Center (WSH),AT&T Center (SA),1384
Verizon Center (WSH),Pepsi Center (DEN),1494
Verizon Center (WSH),Target Center (MIN),936
Verizon Center (WSH),Chesapeake Energy Arena (OKC),1152
Verizon Center (WSH),Moda Center at the Rose Quarter (POR),2353
Verizon Center (WSH),Vivint Smart Home Arena (UTA),1847
ORACLE Arena (GS),TD Garden (BOS),2691
ORACLE Arena (GS),Barclays Center (BKN),2565
ORACLE Arena (GS),Madison Square Garden (NY),2563
ORACLE Arena (GS),Wells Fargo Center (PHI),2514
ORACLE Arena (GS),Air Canada Centre (TOR),2261
ORACLE Arena (GS),United Center (CHI),1848
ORACLE Arena (GS),Quicken Loans Arena (CLE),2159
ORACLE Arena (GS),The Palace of Auburn Hills (DET),2071
ORACLE Arena (GS),Bankers Life Fieldhouse (IND),1941
ORACLE Arena (GS),BMO Harris Bradley Center (MIL),1833
ORACLE Arena (GS),Philips Arena (ATL),2131
ORACLE Arena (GS),Spectrum Center (CHA),2293
ORACLE Arena (GS),AmericanAirlines Arena (MIA),2585
ORACLE Arena (GS),Amway Center (ORL),2433
ORACLE Arena (GS),Verizon Center (WSH),2433
ORACLE Arena (GS),ORACLE Arena (GS),0
ORACLE Arena (GS),Staples Center (LAC),343
ORACLE Arena (GS),Staples Center (LAL),343
ORACLE Arena (GS),Talking Stick Resort Arena (PHX),647
ORACLE Arena (GS),Golden 1 Center (SAC),68
ORACLE Arena (GS),American Airlines Center (DAL),1463
ORACLE Arena (GS),Toyota Center (HOU),1637
ORACLE Arena (GS),FedExForum (MEM),1794
ORACLE Arena (GS),Smoothie King Center (NO),1917
ORACLE Arena (GS),AT&T Center (SA),1485
ORACLE Arena (GS),Pepsi Center (DEN),940
ORACLE Arena (GS),Target Center (MIN),1573
ORACLE Arena (GS),Chesapeake Energy Arena (OKC),1380
ORACLE Arena (GS),Moda Center at the Rose Quarter (POR),533
ORACLE Arena (GS),Vivint Smart Home Arena (UTA),592
Staples Center (LAC),TD Garden (BOS),2598
Staples Center (LAC),Barclays Center (BKN),2453
Staples Center (LAC),Madison Square Garden (NY),2452
Staples Center (LAC),Wells Fargo Center (PHI),2394
Staples Center (LAC),Air Canada Centre (TOR),2177
Staples Center (LAC),United Center (CHI),1745
Staples Center (LAC),Quicken Loans Arena (CLE),2050
Staples Center (LAC),The Palace of Auburn Hills (DET),1977
